"filename", "language", "JavaScript", "HTML", "JSON", "comment", "blank", "total"
"d:\Project\ManageHub-App-master\ManageHub\.expo-shared\assets.json", "JSON", 0, 0, 4, 0, 1, 5
"d:\Project\ManageHub-App-master\ManageHub\App.js", "JavaScript", 263, 0, 0, 3, 10, 276
"d:\Project\ManageHub-App-master\ManageHub\SafeViewAndroid.js", "JavaScript", 7, 0, 0, 0, 2, 9
"d:\Project\ManageHub-App-master\ManageHub\Tabs\BaseNavigator.js", "JavaScript", 173, 0, 0, 11, 6, 190
"d:\Project\ManageHub-App-master\ManageHub\Tabs\Tabs.js", "JavaScript", 116, 0, 0, 2, 4, 122
"d:\Project\ManageHub-App-master\ManageHub\app.json", "JSON", 0, 0, 18, 19, 0, 37
"d:\Project\ManageHub-App-master\ManageHub\babel.config.js", "JavaScript", 7, 0, 0, 0, 1, 8
"d:\Project\ManageHub-App-master\ManageHub\components\AddButton.js", "JavaScript", 71, 0, 0, 1, 3, 75
"d:\Project\ManageHub-App-master\ManageHub\components\Card.js", "JavaScript", 41, 0, 0, 0, 4, 45
"d:\Project\ManageHub-App-master\ManageHub\components\CustomDrawer.js", "JavaScript", 135, 0, 0, 10, 11, 156
"d:\Project\ManageHub-App-master\ManageHub\components\DrawerSearch.js", "JavaScript", 50, 0, 0, 10, 3, 63
"d:\Project\ManageHub-App-master\ManageHub\components\Field.js", "JavaScript", 20, 0, 0, 0, 3, 23
"d:\Project\ManageHub-App-master\ManageHub\components\Header.js", "JavaScript", 49, 0, 0, 1, 6, 56
"d:\Project\ManageHub-App-master\ManageHub\components\Map.js", "JavaScript", 48, 0, 0, 30, 7, 85
"d:\Project\ManageHub-App-master\ManageHub\components\Onboardingitem.js", "JavaScript", 46, 0, 0, 0, 5, 51
"d:\Project\ManageHub-App-master\ManageHub\components\Paginator.js", "JavaScript", 36, 0, 0, 0, 5, 41
"d:\Project\ManageHub-App-master\ManageHub\components\Payment.js", "JavaScript", 125, 0, 0, 7, 9, 141
"d:\Project\ManageHub-App-master\ManageHub\components\PdfCode.js", "JavaScript", 149, 0, 0, 1, 8, 158
"d:\Project\ManageHub-App-master\ManageHub\components\Search.js", "JavaScript", 101, 0, 0, 4, 5, 110
"d:\Project\ManageHub-App-master\ManageHub\components\btn.js", "JavaScript", 22, 0, 0, 0, 2, 24
"d:\Project\ManageHub-App-master\ManageHub\eas.json", "JSON", 0, 0, 18, 0, 0, 18
"d:\Project\ManageHub-App-master\ManageHub\package-lock.json", "JSON", 0, 0, 42458, 0, 1, 42459
"d:\Project\ManageHub-App-master\ManageHub\package.json", "JSON", 0, 0, 94, 0, 1, 95
"d:\Project\ManageHub-App-master\ManageHub\screens\Background.js", "JavaScript", 17, 0, 0, 1, 4, 22
"d:\Project\ManageHub-App-master\ManageHub\screens\Chat.js", "JavaScript", 39, 0, 0, 0, 6, 45
"d:\Project\ManageHub-App-master\ManageHub\screens\Engage\Amenities.js", "JavaScript", 11, 0, 0, 0, 3, 14
"d:\Project\ManageHub-App-master\ManageHub\screens\Engage\Communications.js", "JavaScript", 85, 0, 0, 0, 4, 89
"d:\Project\ManageHub-App-master\ManageHub\screens\Engage\Documents.js", "JavaScript", 11, 0, 0, 0, 3, 14
"d:\Project\ManageHub-App-master\ManageHub\screens\Engage\Help.js", "JavaScript", 198, 0, 0, 3, 7, 208
